n,inclusion_error,exclusion_error
1,.43518519,.6388889
2,.42592594,.66666669
3,.4537037,.68518519
4,.47222221,.72222221
5,.37962964,.64814812
6,.4537037,.68518519
7,.4074074,.66666669
8,.3611111,.6111111
9,.39814815,.71296299
10,.47222221,.6574074
1,.44444445,.72222221
2,.37962964,.69444442
3,.49074075,.72222221
4,.44444445,.69444442
5,.4074074,.62962961
6,.47222221,.73148149
7,.4074074,.5925926
8,.5,.75
9,.48148149,.69444442
10,.4537037,.69444442
11,.44444445,.6388889
12,.47222221,.68518519
13,.47222221,.7037037
14,.44444445,.73148149
15,.42592594,.71296299
16,.41666666,.68518519
17,.39814815,.64814812
18,.42592594,.6574074
19,.37962964,.60185188
20,.4537037,.72222221
21,.5,.68518519
22,.44444445,.6574074
23,.50925928,.68518519
24,.41666666,.68518519
25,.35185185,.62037039
26,.43518519,.68518519
27,.43518519,.66666669
28,.47222221,.6574074
29,.37962964,.5925926
30,.4537037,.68518519
31,.41666666,.64814812
32,.42592594,.6388889
33,.4074074,.64814812
34,.47222221,.6388889
35,.47222221,.6574074
36,.3888889,.68518519
37,.41666666,.64814812
38,.35185185,.66666669
39,.37037036,.6388889
40,.44444445,.7037037
41,.44444445,.62962961
42,.37962964,.6574074
43,.44444445,.67592591
44,.44444445,.64814812
45,.4537037,.68518519
46,.46296296,.6388889
47,.42592594,.67592591
48,.41666666,.66666669
49,.4074074,.6574074
50,.4074074,.64814812
1,.37037036,.6574074
2,.39814815,.69444442
3,.46296296,.64814812
4,.3888889,.5925926
5,.3888889,.64814812
6,.37037036,.64814812
7,.3611111,.6388889
8,.41666666,.62962961
9,.39814815,.6388889
10,.46296296,.68518519
11,.43518519,.67592591
12,.48148149,.62962961
13,.43518519,.6574074
14,.4074074,.71296299
15,.41666666,.6388889
16,.47222221,.66666669
17,.44444445,.66666669
18,.50925928,.7037037
19,.39814815,.64814812
20,.37962964,.56481481
21,.50925928,.68518519
22,.41666666,.68518519
23,.44444445,.71296299
24,.5,.74074072
25,.47222221,.66666669
26,.46296296,.69444442
27,.35185185,.62962961
28,.3888889,.6388889
29,.39814815,.62962961
30,.4074074,.67592591
31,.49074075,.66666669
32,.37037036,.6388889
33,.4074074,.62037039
34,.51851851,.69444442
35,.3888889,.58333331
36,.37962964,.62037039
37,.39814815,.6388889
38,.44444445,.7037037
39,.5,.71296299
40,.3888889,.60185188
41,.5,.69444442
42,.47222221,.67592591
43,.43518519,.69444442
44,.4537037,.7037037
45,.37037036,.69444442
46,.4074074,.62037039
47,.4537037,.68518519
48,.37962964,.62962961
49,.49074075,.73148149
50,.3888889,.62962961
51,.39814815,.60185188
52,.4537037,.62962961
53,.49074075,.67592591
54,.37037036,.64814812
55,.47222221,.67592591
56,.48148149,.6388889
57,.4537037,.7037037
58,.49074075,.71296299
59,.42592594,.7037037
60,.46296296,.72222221
61,.4537037,.69444442
62,.44444445,.71296299
63,.39814815,.64814812
64,.39814815,.62962961
65,.41666666,.66666669
66,.42592594,.68518519
67,.4074074,.62962961
68,.37037036,.66666669
69,.4074074,.68518519
70,.3888889,.62037039
71,.3611111,.57407409
72,.47222221,.60185188
73,.4074074,.62037039
74,.4537037,.69444442
75,.35185185,.6388889
76,.39814815,.68518519
77,.4537037,.69444442
78,.48148149,.64814812
79,.39814815,.6574074
80,.4074074,.6388889
81,.42592594,.6574074
82,.41666666,.72222221
83,.5,.72222221
84,.41666666,.71296299
85,.3611111,.6388889
86,.37037036,.62037039
87,.4074074,.6574074
88,.3611111,.5925926
89,.4074074,.6574074
90,.44444445,.62962961
91,.49074075,.66666669
92,.3611111,.6111111
93,.41666666,.64814812
94,.4074074,.6388889
95,.39814815,.6388889
96,.43518519,.6574074
97,.46296296,.6574074
98,.3888889,.62037039
99,.46296296,.68518519
100,.46296296,.68518519
